Concern,Status,Data analysis status,Fact sheet url,Householder PlanX priority,Open planning software,HMLR Local land charges,CON29,Development plans (inc. Local Plans),Development consent orders (NSIP),Development management,Infrastructure Delivery Strategies,Biodiversity Net Gain,Environmental planning assessment,Historic Environment Record,Environmental outcome report,Planning Inspectorate,Street votes,Site allocations,"Bringing together housing, land and planning geospatial datasets",Description,Policy team,Legislation,Boundary,Point,Metric,Document,Category,Needs a standard,Who is responsible / officially designates,Authoritative source,Where we're getting data from,Expected number of sources,Expected number of records,Frequency of data updates,Related or linked to...,Dataset name,National dataset documentation page,URL of national dataset,License,Personal/sensitive information?,Who asked for it,issue-number,discussion-number
Veteran trees,Backlog,,,,,,,,,,,,,,,,,,,"A tree that is of interest biologically, culturally or aesthetically because of its age, size or condition",,,,,,,,,,Biological Record Centres,,,,,,,,,,,,,
Waste and recycling statistics,Backlog,,,,,,,✓,,,,,,,✓,,,,,Information on waste generation and management,,,,,✓,,,,,DEFRA,,,,,,,,,,,Environmental planning assessment,,
Water quality,Backlog,,,,,,,,✓,,,,,,,,,,,"The condition of water, including chemical, physical, and biological characteristics",,,✓,,✓,✓,,,,,,,,,,,,,,,Development consent orders (NSIP),,
Water stressed areas,Backlog,,,,,,,,,,,,,,✓,,,,,Areas where the demand for water exceeds the available amount ,,,✓,,,,,,,Environment Agency,,,,,,,,,,,Environmental planning assessment,,
Watercourses,Backlog,,,,,,,,,,,✓,,,,,,,,A natural or artificial channel through which water flows,,,✓,,,,,,,,,,,,,,,,,,The biodiversity metric 4.0 and small sites metric GIS data standard,,
Waterside regeneration zones,Backlog,,,,,,,✓,,,,,,,,,,,,Regeneration areas to make the most of waterways ,,,✓,,,,,,,,,,,,,,,,,,,,
Weather forecasting,Backlog,,,,,,,,,,,,,,,,,,✓,"A prediction of what the weather will be like in an hour, tomorrow, or further in the future",,,,,,,,,,,,,,,,,https://www.metoffice.gov.uk/services/data/datapoint,,,,,,
Wellmaster hydrogeological database index,Backlog,,,,,,,,,,,,,,,,,,,Information on water wells and boreholes,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
Wildbelt designations,Backlog,,,,,,,,,,,,,,,,,,,Land currently of low biodiversity value that is designated for nature's recovery,,,✓,,,,,,,,,,,,,,,,,,,,
Wildlife,Backlog,,,,,,,,,,,,,,,,,,,Undomesticated animal species,,,✓,,,,,,,,,,,,,,,,,,,,
World heritage sites,On the platform,,,,✓,,,✓,✓,,,,✓,,,,,,✓,"A natural or man-made site, area, or structure that is protected because of its international importance ",,,✓,,,,,,UNESCO,Historic England,Historic England,Single,Small,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,,
