Concern,Status,Data analysis status,Fact sheet url,Householder PlanX priority,Open planning software,HMLR Local land charges,CON29,Development plans (inc. Local Plans),Development consent orders (NSIP),Development management,Infrastructure Delivery Strategies,Biodiversity Net Gain,Environmental planning assessment,Historic Environment Record,Environmental outcome report,Planning Inspectorate,Street votes,Site allocations,"Bringing together housing, land and planning geospatial datasets",Description,Policy team,Legislation,Boundary,Point,Metric,Document,Category,Needs a standard,Who is responsible / officially designates,Authoritative source,Where we're getting data from,Expected number of sources,Expected number of records,Frequency of data updates,Related or linked to...,Dataset name,National dataset documentation page,URL of national dataset,License,Personal/sensitive information?,Who asked for it,issue-number,discussion-number
Dune slack likely locations,Backlog,,,,,,,,,,,,,,,,,,,Likely locations and boundaries of dune slacks (a depression in the coastal dune system) for sites around England,,,,,,,,,,Environment Agency,,,,,,,https://ckan.publishing.service.gov.uk/dataset/dune-slack-likely-locations,,,,,,
Employment allocations,Backlog,,,,,,,✓,,,,,,,,,,,,Sites that have been identified for employment use,,,✓,,✓,✓,,,,,,,,,,,,,,,,,
Energy and renewable statistics,Backlog,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,BEIS,,,,,,,,,,,Environmental planning assessment,,
Energy performance certificates,Backlog,,,,,,,,✓,,,,,,,,,,✓,"Certificates that contain:

- information about a property’s energy use and typical energy costs
- recommendations about how to reduce energy use and save money
- an energy efficiency rating from A (most efficient) to G (least efficient), valid for 10 years",,,,,,,,,,,,,,,,,,,,,Development consent orders (NSIP),,
Enterprise zone,Backlog,,,,,,,✓,,,,,,,,,,,,Areas where commercial and industrial businesses can get incentives to set up or expand,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Environmental & pollution notice,Backlog,,,,,,,,,,,,,,,,,,,Notice issuing penalties for environmental crimes,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Environmental outcome reports,Prioritised backlog,,,,,,,,,,,,,,✓,,,,,"A system of assessing environmental impacts from development, plans, projects and policies",,,,,,,,,,,,,,,,,,,,,,,
Environmental pollution incidents,Backlog,,,,,,,,,,,,,,,,,,,"Events that may cause harm or potential harm to an environmental aspect (air, water, land, wildlife or local habitat)",,,,,,,,,,Environment Agency,,,,,,,,,,,,,
Environmentally sensitive areas,Backlog,,,,,,,,✓,,,,,,,,,,✓,"Agricultural areas which need special protection because of its landscape, wildlife or historical value. ",,,,,,,,,,Natural England,,,,,,,https://data.gov.uk/dataset/a5b0ccc4-a144-4027-91fa-49084ff07da2/environmentally-sensitive-areas-england,,,,Development consent orders (NSIP),,
Essex Wildlife Trust reserves,Backlog,,,,,,,,,,,,,,,,,,,Nature reserves and discovery centres managed and protected by Essex Wildlife Trust,,,,,,,,,,Biological Record Centres,,,,,,,,,,,,,
Existing railway network,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Department for Transport,,,,,,,,,,,,,
Explosive and orfnance storage,Backlog,Phase 1,https://docs.google.com/document/d/13TarVxC94K5M49_LfJyr2EHW9rZT0_cPsJ_u8fVWNrw/edit#heading=h.lb9do641w06g,Low,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fast food exclusion zone,Backlog,,,,,,,,,,,,,,,,,,,Zones where fast food outlets are banned because they'd be within 400m of schools and other places where children congregate ,,,,,,,,,,,,,,,,,,,,,,,
Ferry Exchanges,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flood risk area,Backlog,,,,,,,,,,,,,,✓,,,,,Areas where there is a risk of flooding from rivers or the sea,,,✓,,,,,,,,,,,,,,,,,,Environmental planning assessment,,
Flood risk zone 1,Backlog,Phase 1,https://docs.google.com/document/d/1mc5UMRPGDU6ba7hNMPDqczdvB4Geu0Mm2aN19GRmASg/edit#heading=h.lb9do641w06g,High,✓,,,,,,,,,,,,,,,An area with a less than 0.1% (1 in 1000) chance of flooding from rivers or the sea,,,,,,,,,,,,,,,,,,,,,,,
Flood risk zones,In development,,,,✓,,,✓,✓,,,,✓,,,✓,,,✓,Areas at risk from flooding from rivers or the sea,,,,,,,,,,,,,,,,,,,,,,,46
Flood risk zones 2,Archived,,,,✓,,,✓,✓,,,,✓,,,✓,,,✓,An area with between 0.1% (1 in 1000) and 1% (1 in 100) chance of flooding from rivers or between 0.1% (1 in 1000) and 0.5% (1 in 200) chance of flooding from the sea,,,✓,,,,,No,,,,,,Weekly,,,https://ckan.publishing.service.gov.uk/dataset/flood-map-for-planning-rivers-and-sea-flood-zone-2,,,,Open planning software;Development consent orders (NSIP);Environmental planning assessment,5,46
Flood risk zones 3,Archived,,,,✓,,,✓,✓,,,,✓,,,✓,,,✓,"An area with a 1% (1 in 100) or greater chance of flooding from rivers, or a 0.5% (1 in 200) or greater chance of flooding from the sea ",,,✓,,,,,No,,,,,,Weekly,,,https://ckan.publishing.service.gov.uk/dataset/flood-map-for-planning-rivers-and-sea-flood-zone-3,,,,Open planning software;Development consent orders (NSIP);Environmental planning assessment,6,46
Flood risk zones 3b,Discovery,Phase 1,,High,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
Flood storage areas,Backlog,,,,,,,,✓,,,,,,,,,,✓,"Areas that act as a balancing reservoir, storage basin or balancing pond for flood control",,,,,,,,,,,,,,,,,https://ckan.publishing.service.gov.uk/dataset/flood-map-for-planning-rivers-and-sea-flood-storage-areas,,,,Development consent orders (NSIP),,
Food hygiene rating,Backlog,,,,,,,,,,,,,,,,,,,Rating that reflects the standards of food hygiene found on the date of the local authority inspection,,,,,,,,,,Food Standards Agency,,,,,,,,,,,,,
Food safety notice,Backlog,,,,,,,,,,,,,,,,,,,Notices of serious food safety problems that can include banning certain equipment or processes until improvements have been made,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
GCN risk zones,Backlog,,,,,,,,,,,,,,,,,,,Areas where the distribution of great crested newts (GCN) has been categorised into zones ,,,,,,,,,,Natural England,,,,,,,,,,,,,
GCN strategic opportunity areas,Backlog,,,,,,,,,,,,,,,,,,,Areas where new ponds would benefit great crested newt (GCN) populations ,,,,,,,,,,Natural England,,,,,,,,,,,,,
GeoClimate,Backlog,,,,,,,,,,,,,,,,,,✓,Maps and data showing potential change in subsidence due to changes in climate,,,,,,,,,,,,,,,,,https://www.bgs.ac.uk/datasets/geoclimateukcp18-open/,,,,,,
Geological disturbance - faults,Backlog,,,,,,,,,,,,,,,,,,,Lines of discontinuity in bedrock where rocks have moved relative to each other,,,,,,,,,,Coal Authority,,,,,,,,,,,,,
Geological disturbance - fissure and breakline,Backlog,,,,,,,,,,,,,,,,,,,"Fissures are a crack or opening in rock or the earth created by mining  and breaklines are a vertical step in the rock or earth, created when underground mining has caused differential settlement at the surface",,,,,,,,,,Coal Authority,,,,,,,,,,,,,
Geology 625K,Backlog,,,,,,,,,,,,,,,,,,✓,Data identifying landscape areas (shown as polygons) attributed with geological names and rock type descriptions,,,,,,,,,,,,,,,,,https://www.bgs.ac.uk/products/digitalmaps/DiGMapGB_625.html,,,,,,
GeoScour,Backlog,,,,,,,,,,,,,,,,,,,Information on the likelihood of river scour (when water erodes sediments) occurences,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
GeoSure 5km hex grids,Backlog,,,,,,,,,,,,,,,,,,,Overview of the likelihood of 6 naturally occurring geohazards ,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
GeoSure shrink-swell 3D,Backlog,,,,,,,,,,,,,,,,,,,Map identifying areas of potential shrinking and swelling of the ground in 3D in the London and Thames Valley area,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
GeoSure shrink-swell subsurface,Backlog,,,,,,,,,,,,,,,,,,,Map identifying areas of potential shrinking and swelling of the ground that are hidden from the surface underneath other solid formations ,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
Golf courses,Backlog,,,,,,,,,,,,,,✓,,,,,Large areas of grass specially designed for people to play golf on,,,,,,,,,,,,,,,,,,,,,Environmental planning assessment,,
GP practices,Backlog,,,,,,,,,,,,,,,,,,,Buildings in which one or more GPs provide general medical services to patients,,,,,,,,,,NHS,,,,,,,,,,,,,
Grassland,Backlog,,,,,,,,,,,✓,,,,,,,,Landscapes dominated by grasses,,,,,,,,,,,,,,,,,,,,,,,
Great crested newts eDNA pond surveys,Backlog,,,,,,,,,,,,,,,,,,,Surveys of ponds to detect newt environmental DNA,,,,,,,,,,Natural England,,,,,,,,,,,,,
Greater London archaeological priority areas,Backlog,,,,,,,✓,,,,,,,,,,,,Areas of Greater London where there is significant known archaeological interest or potential for new discoveries,,,,,,,,,,Historic England,,,,,,,,,,,,,
Greenbelt,On the platform,,,,,,,✓,✓,,,,✓,,,,,,,An area of open land around a city that cannot be built on,,,✓,,,,,,,DLUHC,DLUHC,Single,Small,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,,45
Groundwater vulnerability,Backlog,,,,,,,,,,,,,,,,,,,"Whether groundwater has a high, medium or low risk of pollution",,,,,,,,,,British Geological Survey; Envionment Agency,,,,,,,,,,,,,
"Gypsy, Roma & traveller sites",Prioritised backlog,,,,,,,✓,,,,,,,,,,,,"An area of land where gypsy, Roma and traveller communities live which may be owned and managed privately or by the council",,,✓,,,,,Yes,,Local planning authorities,,,,,,,,,,,,22,35
Habitat networks,Backlog,,,,,,,,✓,,,,,,,,,,,Sets of separate areas of habitat that are close enough together to connect in some way,,,,,,,,,,,,,,,,,,,,,Development consent orders (NSIP),,
Hazardous substance notice,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Safety Executive,,,,,,,,,,,,,
Hazardous waste interrogator,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environment Agency,,,,,,,,,,,,,
Health and Safety Executive Consultation (HSE) Zones,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Safety Executive,,,,,,,,,,,,,
Heathland and shrub,Backlog,,,,,,,,,,,✓,,,,,,,,Land that has at least 25% cover of woody species such as gorse or heather,,,,,,,,,,,,,,,,,,,,,,,
Hedgerows,Backlog,,,,,,,,,,,✓,,,,,,,,Any boundary line of trees or shrubs over 20m long and less than 5m wide,,,,,,,,,,,,,,,,,,,,,The biodiversity metric 4.0 and small sites metric GIS data standard,,
Heritage action zone,Backlog,,,,,,,,,,,,,,,,,,,Grant-funded projects restoring historic environments,,,✓,,,,,,,,,,,,,,,,,,,,
Heritage assets of archaeological interest,Backlog,,,,,,,,,,,,,,✓,,,,,"An area that holds, or potentially holds, evidence of past human activity worthy of expert investigation",,,,,,,,,,,,,,,,,,,,,Environmental planning assessment,,
Heritage at risk,Backlog,,,,,,,✓,,,,,,,,,,,,"Hostoric sites that are most at risk of being lost as a result of neglect, decay or inappropriate development",,,,,,,,,,Historic England,,,,,,,,,,,,,
Heritage coast,On the platform,,,,,,,✓,,,,,,,✓,,,,,A stretch of undeveloped coast designated for conservation,,,✓,,,,,,,Natural England,Natural England,Single,Small,,,,,,,,Environmental planning assessment,,
Highway network,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Highways England,,,,,,,,,,,,,
Historic (non-designed) rural landscape/local landscape area,Backlog,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,
Historic environment record,Backlog,,,,,,,,,,,,,,,,,,,"Details of local archaeological sites and finds, historic buildings and historic landscapes",,,,,,,,,,,,,,,,,,,,,,,
Historic landfill,Backlog,,,,,,,,,,,,,,✓,,,,,Sites where there is no PPC (Pollution Prevention and Control) permit or waste management licence currently in force,,,,,,,,,,Environment Agency,,,,,,,,,,,Environmental planning assessment,,
Historic Orchard Sites,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biological Record Centres,,,,,,,,,,,,,
Historic parks and gardens,On the platform,,,,,,,,✓,,,,,,,,,,,"Designed landscapes of special historical interest because of their layout, features and architectural decoration",,,✓,,,,,,,Historic England,Historic England,Single,Small,,,,,,,,Development consent orders (NSIP),,
Historic rural landscapes,Backlog,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,Historic England,,,,,,,,,,,,,
Historic stone quarry,Backlog,,,,,,,,,,,,,,,,,,,Area where quarrying of stone was previously carried out,,,✓,,,,,,,,,,,,,,,,,,,,
Historical mineral planning permissions,Backlog,,,,,,,,,,,,,,,,,,,"Boundaries for permitted, withdrawn and refused mineral planning permissions for England and Wales",,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
Hospital performance,Backlog,,,,,,,,,,,,,,,,,,,Measures of hospital performance on a national level,,,,,,,,,,NHS,,,,,,,,,,,,,
Hospitals,Backlog,,,,,,,,,,,,,,,,,,,Building where medical and surgical treatment and nursing care for sick or injured people is provided,,,,,,,,,,NHS,,,,,,,,,,,,,
Houses in multiple occupation,Backlog,,,,,,,,,,,,,,,,,,,A property rented out by at least 3 people who are not from one 'household' (for example a family) but share facilities like the bathroom and kitchen,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Housing waiting list,Backlog,,,,,,,,,,,,,,,,,,,A waiting list of people who qualify for social housing,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
HS2 safeguarded area,Backlog,,,,,,,✓,,,,,,,,,,,,Protected land that might be needed to build the HS2 railway,,,✓,,,✓,,,,,,,,,,,,,,,,,
Hydrogeological maps,Backlog,,,,,,,,,,,,,,,,,,,Maps that bring basic geological information together with data on the hydraulic and hydrochemical characteristics of rocks and their usefulness for groundwater supply,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
Important bird areas,Backlog,,,,,,,,✓,,,,,,,,,,✓,Areas identified as being globally important for the conservation of bird populations,,,✓,,,,,,,,,,,,,,https://opendata-rspb.opendata.arcgis.com/datasets/c38f60f68f094f269d90db26b1381837_0,,,,Development consent orders (NSIP),,
Infrastructure funding statements,On the platform,,,,,,,,,,✓,,,,,,,,,A summary of financial contributions councils have secured through section 106 agreements from new developments,Infrastructure Funding,,,,,✓,,Yes,,Local planning authorities,Local planning authorities,Multiple,Small,Annually,,,,,,,,,
Inner urban improvement area,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Internal drainage district,Backlog,,,,,,,,,,,,,,,,,,,Areas that derive benefit or avoid danger as a result of drainage operations,,,✓,,,,,,,,,,,,,,,,,,,,
Invasive non native species,Backlog,,,,,,,,,,,,,,,,,,,Species which have been introduced into areas outside their natural range through human actions and are posing a threat to native wildlife,,,,,,,,,,Biological Record Centres,,,,,,,,,,,,,
Irreplaceable habitats,Backlog,,,,,,,✓,,,,,,,✓,,,,,"Habitats that could not be recreated if damaged, such as ancient woodland, ancient and veteran trees, blanket bog, limestone pavement, sand dunes, salt marsh and lowland fens ",,,✓,,,,,,,,,,,,,,,,,,Environmental planning assessment,,
Key business areas,Backlog,,,,,,,✓,,,,,,,,,,,,,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Lakes,Backlog,,,,,,,,,,,✓,,,,,,,,Large areas of fresh water surrounded by land,,,,,,,,,,,,,,,,,,,,,,,
Land maintenance notice,Backlog,,,,,,,,,,,,,,,,,,,"A notice served when the condition of land is having an
adverse effect on a neighbourhood",,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Land ownership boundary,Backlog,,,,,,,✓,,,,,,,,,,,,The rough boundary of a property,,,,,,,,,,Land Registry,,,,,,,,,,,Local plans,,
Land registry polygons / red line boundaries,Discovery,Phase 1,https://docs.google.com/document/d/1iGOw61rjvFIqZHR8RzL6yGXcjs0EYHQdHNEANUdF3Jc/edit,High,✓,,,,,,,,,,,,,,,The indicative shapes and positions of each boundary of registered titles for land and property,,,✓,,,,,,,,,,,,,,,,,,Open planning software,,49
Land required for public purpose,Backlog,,,,,,,,,,,,,,,,,,,Land reserved for a public purpose under a planning scheme,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Land to be acquired for roadworks,Backlog,,,,,,,,,,,,,,,,,,,Land reserved for roadworks,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Landmark buildings,Backlog,,,,,,,,,,,,,,,,,,,Buildings of great historical or artistic value that have protection to prevent them from being changed or destroyed,,,✓,,,,,,,,,,,,,,,,,,,,
Landmark features,Backlog,,,,,,,,,,,,,,,,,,,Easily recognisable features of land that help us work out where we are,,,✓,,,,,,,,,,,,,,,,,,,,
LERC jurisdictions,Backlog,,,,,,,,,,,,,,,,,,,Local Environmental Records Centre (LERC) areas,,,,,,,,,,,,,,,,,,,,,,,
Less favoured areas,Backlog,,,,,,,,,,,,,,,,,,,Remote and constrained rural areas where funding is provided to farming businesses,,,,,,,,,,DEFRA,,,,,,,,,,,,,
LIDAR composite DSM - 2m,Backlog,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,https://ckan.publishing.service.gov.uk/dataset/lidar-composite-dsm-2017-2m,,,,,,
LIDAR composite DTM - 1m,Backlog,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,https://ckan.publishing.service.gov.uk/dataset/lidar-composite-dtm-2017-1m,,,,,,
LIDAR composite DTM - 25cm,Backlog,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,https://ckan.publishing.service.gov.uk/dataset/lidar-composite-dtm-2017-25cm,,,,,,
LIDAR habitat,Backlog,,,,,,,,✓,,,,,,,,,,✓,,,,✓,,,,,,,,,,,,,,https://ckan.publishing.service.gov.uk/dataset/casi-and-lidar-habitat-map,,,,Development consent orders (NSIP),,
Listed buildings,Piloting,,,,✓,,,✓,✓,,,,✓,,,,,,,A building which is protected because it has special architectural or historic interest ,,,✓,✓,,,✓,,,Historic England,Historic England;Local planning authorities,Multiple,Large,Monthly,,,,,,,Open planning software;Development consent orders (NSIP);Environmental planning assessment,,44
Local air quality action plan,Backlog,,,,,,,,,,,,,,,,,,,Plan that outlines local action to improve air quality,,,,,,✓,,Yes,,Local planning authorites,,Multiple,Small,,,,,,,,,,
Local authority district,On the platform,,,,✓,,,,✓,,,,✓,,,,,,✓,The geographic area that a local government body is responsible for,,,✓,,,,,,,Office for National Statistics,Office for National Statistics,Single,Small,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,,
Local development order,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local flood data,Next,Phase 1,https://docs.google.com/document/d/1GJdkEbpLlfcB9AbBfLcDgkvFMxs7kPrtc_y_mxOby-I/edit,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local green space,Backlog,,,,,,,,✓,,,,,,,,,,,"Protected green areas demonstrably special to the local community, whether in a village or in a neighbourhood in a town or city",,,✓,,,,,,,,,,,,,,,,,,Development consent orders (NSIP),,
Local nature recovery strategy,Backlog,,,,,,,,,,,,,,,,,,,Locations to create or improve habitat most likely to provide the greatest benefit for nature and the wider environment,,,✓,,,✓,,,,,,,,,,,,,,,,,
Local nature reserves,Discovery,Phase 1,https://docs.google.com/document/d/1ZObCVL1dGKVEgputfdwPs-Ih43UH5Mradk4zvteeA_Y/edit#heading=h.lb9do641w06g,,✓,,,,,,,,,,✓,,,,,A protected area of land designated by a local authority because of its special natural interest or educational value,,,✓,,,,,No,,Natural England,,Single,Small,,,Local Nature Reserves (England),https://naturalengland-defra.opendata.arcgis.com/datasets/Defra::local-nature-reserves-england/about,https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Local_Nature_Reserves_England/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,OGL,,Environmental planning assessment;Open planning software,,48
Local plan policies,Backlog,,,,✓,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local planning authority,On the platform,,,,✓,,,,✓,,,,✓,,,✓,,,,The planning department of the district or borough council,,,✓,,,,,,,Office for National Statistics,Office for National Statistics,Single,Small,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,13,36
Local wildlife sites,Next,,,,,,,,,,,,,,✓,,,,,Areas of land that are especially important for their local wildlife,,,✓,,,,,,,Biological Record Centres,,,,,,,,,,,Environmental planning assessment,,
Locally listed areas,Backlog,,,,,,,✓,,,,,,,,,,,,To protect locally important historic places and spaces,,,✓,,,,,Yes,,Local planning authorities,,,,,,,,,,,Local plans,,
Locally listed buildings,Next,,,,,,,,,,,,,,,,,,,"A building recognised by the local authority (but not nationally) as having local importance due to its architectural, historical or environmental significance",,,✓,,,✓,,Yes,,Local planning authorities,,,,,,,,,,,,,
Locally significant industrial sites (LSIS),Backlog,,,,,,,,,,,,,,,,,,,Sites that have particular local importance for industrial and related functions,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
London squares,Backlog,,,,,,,,,,,,,,,,,,,"Protected squares in London that should only be used as ornamental gardens, pleasure grounds or for play, rest or recreation",,,✓,,,,,,,,,,,,,,,,,,,,
Long established & protected woodland,Backlog,,,,,,,✓,,,,,,,,,,,,Areas that have been wooded continuously from 1893,,,✓,,,,,,,,,,,,,,,,,,,,
Main rivers,Backlog,,,,,,,,✓,,,,✓,,,,,,✓,Designated larger rivers and streams,,,✓,,,,,,,Natural England,,,,,,,https://www.ordnancesurvey.co.uk/business-government/products/open-map-rivers,,,,Development consent orders (NSIP);Environmental planning assessment,,
Major railway improvement schemes,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORR / Network Rail,,,,,,,,,,,,,
Major roads,Backlog,,,,,,,,,,,,,,✓,,,,,Motorways and all class 'A' roads,,,✓,,,,,,,,,,,,,,,,,,Environmental planning assessment,,
Marine conservation zones,Backlog,,,,,,,,,,,,,,✓,,,,,"Marine areas that protect a range of nationally important, rare or threatened habitats and species",,,✓,,,,,,,Natural England,,,,,,,,,,,Environmental planning assessment,,
Metropolitan open land (London),Backlog,,,,,,,✓,,,,,,,,,,,,Open space that contributes to the structure of London,,,,,,,,,,Greater London Authority,,,,,,,,,,,Local plans,,
Millennium greens,Backlog,,,,,,,,,,,,,,,,,,,Areas of green space for the benefit of local communities created to celebrate the millennium,,,,,,,,,,Natural England,,,,,,,,,,,,,
Mine entry,Backlog,,,,,,,,,,,,,,,,,,,The entrances into a mine,,,,,,,,,,Coal Authority,,,,,,,,,,,,,
Mineral assessment reports,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
Mineral safeguarding areas,Backlog,,,,,,,✓,,,,,,,,,,,,Areas where known deposits of minerals are safeguarded,,,✓,,,,,,,,,,,,,,,,,,,,
Minerals and waste plan,Backlog,,,,,,,✓,,,,,,,,,,,,Locations for future minerals extraction (such as sand and gravel pits or crushed rock quarries) and for the development of waste management facilities (such as recycling centres),,,✓,,,✓,,Yes,,Local planning authority,,,,,,,,,,,,,
Mining and ground stability,Backlog,,,,,,,,✓,,,,,,,,,,✓,Potential ground stability hazards from mining activities ,,,✓,,,,,,,,,,,,,,https://www.gov.uk/guidance/using-coal-mining-information,,,,Development consent orders (NSIP),,
MORECS,Backlog,,,,,,,,,,,,,,,,,,,Evaporation and soil moisture deficit for the UK (Meteorological Office rainfall and evaporation calculation system),,,,,,,,,,Met Office,,,,,,,,,,,,,
Multibeam bathymetry,Backlog,,,,,,,,,,,,,,,,,,,High resolution elevation information of underwater terrain,,,,,,,,,,Environment Agency,,,,,,,,,,,,,
National character areas,Backlog,,,,,,,,,,,,,,,,,,,Geographically unique areas of the UK,,,,,,,,,,Natural England,,,,,,,,,,,,,
National chargepoint register,Backlog,,,,,,,,,,,,,,,,,,,Database of public electric vehicle chargepoints  in the UK,,,,,,,,,,Office for Low Emission Vehicles,,,,,,,,,,,,,
National coach services,Backlog,,,,,,,,,,,,,,,,,,✓,Timetable data for several mainland UK coach services not contained in the Traveline national dataset (TNDS),,,,,,,,,,Department for Transport,,,,,,,https://data.gov.uk/dataset/3a3b32f3-d727-4623-aa17-daa2f39aaf92/national-coach-services-ncsd,,,,,,
National cycle network,Backlog,,,,,,,,,,,,,,✓,,,,,"The UK-wide network of signed paths and routes for walking, wheeling, and cycling outdoors",,,✓,,,,,,,,,,,,,,,,,,Environmental planning assessment,,
National flood and coastal erosion risk management strategy,Backlog,,,,,,,,,,,,,,✓,,,,,Strategy for flooding and coastal change resilience,,,✓,,,,,,,,,,,,,,,,,,Environmental planning assessment,,
National forest inventory,Backlog,,,,,,,,,,,,,,,,,,✓,A programme that monitors woodland and trees in Great Britain,,,,,,,,,,,,,,,,,http://data-forestry.opendata.arcgis.com/datasets/295e0278dc2641e2935c411d28908be9_0,,,,,,
National grid cables,Backlog,,,,,,,,✓,,,,,,,,,,✓,Locations of national electricity transmission network cables,,,✓,,,,,,,,,,,,,,https://www.nationalgridet.com/network-and-assets/network-route-maps,,,,Development consent orders (NSIP),,
National grid overhead lines,Backlog,,,,,,,,✓,,,,,,,,,,✓,Electrical cables that transmit electricity across the country,,,✓,,,,,,,,,,,,,,https://www.nationalgridet.com/network-and-assets/network-route-maps,,,,Development consent orders (NSIP),,
National grid substation sites,Backlog,,,,,,,,✓,,,,,,,,,,✓,Locations of national electricity transmission substations,,,✓,,,,,,,,,,,,,,https://www.nationalgridet.com/network-and-assets/network-route-maps,,,,Development consent orders (NSIP),,
National grid towers,Backlog,,,,,,,,✓,,,,,,,,,,✓,"Structural supports, known as pylons, that carry the UK’s network of high-voltage overhead power lines ",,,✓,,,,,,,,,,,,,,https://www.nationalgridet.com/network-and-assets/network-route-maps,,,,Development consent orders (NSIP),,
National landslide database,Backlog,,,,,,,,,,,,,,,,,,,Databse of reported landslide events,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,
National nature reserves,Discovery,Phase 1,https://docs.google.com/document/d/1ULS_aunj8r-Iv5kZ5IelEM_wBGxfS98bKXn4X7hvXkg/edit#heading=h.lb9do641w06g,,✓,,,,✓,,,,,,,,,,✓,"Areas where wildlife, plants and animals are protected to allow them to thrive",,,✓,,,,,,,,,,,,,,https://data.gov.uk/dataset/726484b0-d14e-44a3-9621-29e79fc47bfc/national-nature-reserves-england,,,,Development consent orders (NSIP),,48
National parks and the broads,On the platform,,,,✓,,,✓,✓,,,,✓,,,,,,✓,A large area of land protected by law for the benefit of the nation,,,✓,,,,,,,Office for National Statistics,Office for National Statistics,Single,Small,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,,
National public transport access nodes,Backlog,,,,,,,,,,,,,,,,,,,All public transport access points where you can get on or off public transport,,,,,,,,,,Department for Transport,,,,,,,,,,,,,
National Trust land –  limited access,Backlog,,,,,,,,,,,,,,,,,,,Land that is enclosed as part of a National Trust estate and public access is limited,,,,,,,,,,National Trust,,,,,,,,,,,,,
National Trust land – always open,Backlog,,,,,,,,,,,,,,,,,,,National Trust land that the public has access to on foot only,,,,,,,,,,National Trust,,,,,,,,,,,,,
Nationally Significant Infrastructure Projects (NSIP),In development,,,,,,,,✓,,,,,,,,,,,"Major infrastructure projects such as new harbours, roads, power generating stations (including offshore wind farms) and electricity transmission lines, which require a type of consent known as ‘development consent’",,,✓,,,✓,✓,,PINs,PINs,,Single,Small,,DCOs,,,,,,,,
Nature improvement areas,Backlog,,,,,,,,✓,,,,,,,,,,✓,Areas of the country where partnerships have been set up to enhance the natural environment,,,✓,,,,,,,Natural England,,,,,,,https://data.gov.uk/dataset/a19c95e3-9657-457d-825e-3d2f3993b653/nature-improvement-areas,,,,Development consent orders (NSIP),,
Nearby railway schemes,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Nearby road schemes,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,
Neighbourhood plans,Prioritised backlog,,,,,,,✓,,,,,,,,,,,,,,,✓,,,✓,,Yes,,Local planning authorities,,,,,,,,,,,,21,37
